condition,policy,seed,request_id,admission_ms,completion_ms,own_compute_ms,admission_latency_ms,raw_ratio,plotted_ratio,slo_1p5_pass
full,asu_baseline,7,27000009,3200.6458248698027,4357.3575488136585,1130.6863062355314,1156.7117239438558,1.0230173634940114,1.0230173634940114,True
full,asu_baseline,7,28000008,2139.521964757791,2370.5040299226503,58.92951067026337,230.98206516485925,3.9196331776332896,3.9196331776332896,False
full,asu_baseline,7,28000009,2370.5040299226503,2596.022971837869,58.057852632638046,225.51894191521887,3.884383105627303,3.884383105627303,False
full,asu_baseline,7,28000010,2596.022971837869,2858.7340441300325,26.717256165257165,262.7110722921634,9.83301094495587,9.83301094495587,False
full,asu_baseline,7,28000011,2858.7340441300325,3128.454967936209,32.085964974046185,269.7209238061764,8.40619641716711,8.40619641716711,False
full,asu_baseline,7,28000012,3128.454967936209,3395.958378211038,72.35128428205302,267.5034102748291,3.6972862738966508,3.6972862738966508,False
full,asu_baseline,7,28000013,3395.958378211038,3639.706071548627,58.92951067026337,243.74769333758877,4.136258566636752,4.136258566636752,False
full,asu_baseline,7,28000014,3639.706071548627,4029.4376210859255,372.6508694745985,389.73154953729863,1.0458356103845463,1.0458356103845463,True
full,asu_baseline,7,29000005,2264.1563253095587,2722.7065070238236,458.55018171426593,458.5501817142649,0.9999999999999978,1.0,True
full,asu_baseline,7,29000006,2722.7065070238236,2981.4876880151855,122.48236916054397,258.7811809913619,2.1128035223760575,2.1128035223760575,False
