scenario,policy,seed,window,ssu_id,capacity_GiB_s,mean_demand_GiB_s,min_demand_GiB_s,max_demand_GiB_s,overload_percent,actual_GiB_s,busy_percent
full,asu_baseline,43,full_population,0,40,110.18070721200527,0.5548413004760204,196.7829146529965,96.85735488234677,35.44461847937596,88.61154619843991
full,asu_baseline,43,full_population,1,40,121.14861553384931,0.6072889855956536,220.69469239662743,97.0366627023426,38.93082407241751,97.32706018104376
full,asu_baseline,43,full_population,2,40,118.08458280070344,0.5161956377564807,210.42327578026396,96.90724276605384,37.996183222839136,94.99045805709783
full,asu_baseline,7,warm_2_4s,0,40,110.98862804812788,59.0936416474457,147.93139333785996,100.0,37.25654557277419,93.14136393193549
full,asu_baseline,7,warm_2_4s,1,40,121.44161598210772,66.13980470151685,164.40938801789218,100.0,40.0,100.0
full,asu_baseline,7,warm_2_4s,2,40,117.83624671424108,66.20018265351575,157.74672862094388,100.0,39.42243912746168,98.5560978186542
full,asu_baseline,7,long_2_6s,0,40,109.83156917577001,59.0936416474457,150.99184527891526,100.0,36.75678253173828,91.8919563293457
full,asu_baseline,7,long_2_6s,1,40,120.58997432525838,66.13980470151685,167.82600424389935,100.0,40.0,100.0
full,asu_baseline,7,long_2_6s,2,40,117.48929500823343,66.20018265351575,161.15613507698347,100.0,39.21842193603515,98.04605484008786
full,asu_baseline,7,full_population,0,40,109.76141743343959,0.5520808959959846,168.96132958538794,97.29585643602587,35.55176732620065,88.87941831550161
full,asu_baseline,7,full_population,1,40,120.65257401304751,0.5493204915164815,183.45959933282757,97.29585643602587,39.04851169565209,97.62127923913022
full,asu_baseline,7,full_population,2,40,117.56511570199439,0.5769245363157789,176.67079603644052,97.35376583701215,38.1110454329779,95.27761358244476
full,mild,19,warm_2_4s,0,40,67.1776860662702,41.25411594957276,98.42515131484674,100.0,36.70523018773237,91.76307546933091
full,mild,19,warm_2_4s,1,40,73.51494555438065,45.41622298880319,107.41691993834822,100.0,40.0,100.0
full,mild,19,warm_2_4s,2,40,71.70327867599393,43.87149307722478,102.89793814052094,100.0,39.106485568663544,97.76621392165885
full,mild,19,long_2_6s,0,40,61.638822800510845,34.91564207941586,98.42515131484674,98.11813806092334,36.52406311035156,91.3101577758789
full,mild,19,long_2_6s,1,40,67.50581584851572,38.4217683829926,107.41691993834822,98.59648170028956,40.0,100.0
full,mild,19,long_2_6s,2,40,65.83250339821969,37.410442137323,102.89793814052094,98.11813806092334,39.035930633544915,97.58982658386228
full,mild,19,full_population,0,40,64.25674550089649,0.49950707298902974,172.85634907853375,93.73609587415235,35.38637768105146,88.46594420262865
full,mild,19,full_population,1,40,70.50085951162887,0.5699073987119316,190.76460179527552,94.83459142929792,38.86685491798218,97.16713729495545
full,mild,19,full_population,2,40,68.7846579474619,0.5397358305449979,178.6706812367246,94.60900912760131,37.933749822816225,94.83437455704056
full,mild,43,warm_2_4s,0,40,67.13124046707462,49.42092948683168,97.50696037087071,100.0,36.27572679248048,90.68931698120117
full,mild,43,warm_2_4s,1,40,73.66153378211412,54.31361989171143,103.68690924537037,100.0,40.0,100.0
full,mild,43,warm_2_4s,2,40,71.45668977834923,52.415964681839085,103.0959041194427,100.0,38.85823754872327,97.14559387180816
full,mild,43,long_2_6s,0,40,64.37950544855188,38.487660592694034,97.50696037087071,99.17510796101297,36.088270711516856,90.22067677879213
full,mild,43,long_2_6s,1,40,71.18181569293534,43.344392725021315,109.18385502403541,100.0,40.0,100.0
full,mild,43,long_2_6s,2,40,68.97884297672539,41.90473959485785,103.35950579832448,100.0,38.79144148788403,96.97860371971008
full,mild,43,full_population,0,40,64.25205545212992,1.1731278086882733,131.25629521398912,96.06628690438535,35.656604724529885,89.14151181132472
full,mild,43,full_population,1,40,70.53745789161894,1.1566048818053942,144.98788315590807,97.15102189966291,39.16366052460451,97.90915131151128
full,mild,43,full_population,2,40,68.90914584935045,1.1070361011566399,141.21394419177224,96.93333132954373,38.223429799531075,95.5585744988277
full,mild,7,warm_2_4s,0,40,63.25508905924878,31.893119790811177,104.00953468789662,95.0817210439632,36.83173885888671,92.07934714721678
full,mild,7,warm_2_4s,1,40,68.96400536717942,34.91701425623481,116.09914649340807,97.48407257801004,40.0,100.0
full,mild,7,warm_2_4s,2,40,66.97911593475952,34.38341373054203,111.26207438188467,97.48407257801004,39.15430450439452,97.88576126098629
full,mild,7,long_2_6s,0,40,65.0267254112761,31.893119790811177,104.00953468789662,97.54086052198161,36.53585433959961,91.33963584899902
full,mild,7,long_2_6s,1,40,71.31067327309853,34.91701425623481,116.09914649340807,98.74203628900501,40.0,100.0
